WP,wielkopolskie,województwo,,2023,PL-A-WP-001,A1,BILLS SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Ostrzeszów,"ul. Ignacego Daszyńskiego 31, 63-500",PL5140361901,KRS 0001074645,https://www.bills.pl,brak,finanse@bills.pl,+48 62 586 07 38,brak,brak,brak,,wyłączność,"PowerMatic, SMOKS tobacco aromas, Intenze e-liquid",nie,Polska producent (PowerMatic via PL/CCE exclusive),duży 🟢,exclusive PL+CEE (BILLS),bills.pl,brak,n/a,n/a,Marceli,właściciel/CEO,KRS API + NIP + www.bills.pl + VIES,2026-08-10,QS: 90/100 | 2026-08-10 ✅ FROZEN (API),✅🐋,duży
LB,lubuskie,województwo,,2005,PL-B-LB-001,B6,CK COMPLEX SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Zielona Góra,"ul. Naftowa 4, 65-705",PL9291744080,KRS 0000237218,https://ckcomplex.pl,brak,info@ckcomplex.pl,+48 68 452 12 30,linkedin.com/company/ck-complex-sp.-z-o.o.,CKComplex,ckcomplexspzoo,,reseller,nie (tylko vape/elektronika),"tak (SPARK, CK Lighters, Hotlight)",Chiny (import),duży 🟢,hurtownia + sieć 100+ sklepów własnych,3,brak,n/a,Paweł Szymański,Prezes Zarządu,brak,KRS API + web search + VIES,2026-08-10,QS: 90/100 | 🐋 2026-08-10 ✅ FROZEN (API),Sieć 100+ sklepów vape. Dystrybutor SMOK/VooPoo/Aspire/Vaporesso. Kapitał 50k PLN. Rejestracja 2005. PKD 4690Z (hurt niewyspecjalizowana). Kandydat cross-sell jeśli któryś z jego sklepów chce rozszerzyć o asortyment,duży
ZP,zachodniopomorskie,województwo,,,PL-B-ZP-001,B4,F.H.U. ALPIK RYSZARD TRZCIŃSKI (brand: BongoGo.pl),PL,Szczecin,"ul. Bolesława Krzywoustego 51, 70-317",PL9551541914,JDG (CEIDG),https://bongogo.pl,Allegro shop,kontakt@bongogo.pl,+48 601 779 697,brak,BongoGoPL,bongogo,,detalista,nie,nie,do weryfikacji,mały 🟡,sklep stacjonarny + hurtownia,5,średni,Ryszard Trzciński,właściciel,brak,CEIDG API + web search,CEIDG API + web search + VIES,2026-08-10,QS: 90/100 | 🟢 2026-08-10 ✅ FROZEN (API),"Brand BongGo.pl = F.H.U. ALPIK. Sklep stacjonarny w Szczecinie, panel hurtowy dla firm. Powiązany z bongosklep.firmy.net. Weryfikacja czy importuje maszynki - prawdopodobnie tak (panel hurtowy sugeruje) ⚠️ DO-WERYFIKACJI",duży
LD,łódzkie,województwo,,,PL-B-LD-001,B4,GABIMIX KRZYSZTOF JASZCZAK (brand: Dopalenia.pl),PL,Konstantynów Łódzki,"pl. Kościuszki 20, 95-050",PL7311693836,JDG (CEIDG),https://www.dopalenia.pl,Allegro shop,sklep@dopalenia.pl,+48 665 852 033,brak,dopalenia,brak,,detalista,nie,nie,do weryfikacji,mały 🟡,sklep + hurtownia,5,wysoki,Krzysztof Jaszczak,właściciel,brak,CEIDG + web search,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 90/100 | 🟢 2026-08-10 ⚠️ DO-WERYFIKACJI (API),Brand Dopalenia.pl = Gabimix. Strona + hurtownia. Prawdopodobnie sprzedaje maszynki (typowy asortyment sklepu tytoniowego). Status AKTYWNY w CEIDG. Kandydat cross-sell ⚠️ DO-WERYFIKACJI,duży
DS,dolnośląskie,województwo,,,PL-B-DS-001,B8,"""CASISS"" SP.J. HURTOWNIA PAPIEROSÓW",PL,Wrocław (Krzyki),"ul. Kościuszki 180, 50-437 Wrocław",PL8940050162,brak KRS (sp.j. zewidencjonowana w CEIDG/RGOP),brak,pkt.pl,brak,"71 336 23 94, 71 345 67 74, 74 840 83 33, fax 71 367 23 94",brak,brak,brak,,hurtownik,nie,nie,brak,średni 🟡 (sieć 6+ lokalizacji),"hurtownia + 6+ sklepów: Wrocław (Kościuszki 180, Żegiestowska 5, Krzywoustego 300 x2), Wałbrzych (Wrocławska 130, partner: kdwt.com.pl)",5,wysoki,brak,Rzeszowski,brak,panoramafirm + pkt.pl (2 niezależne źródła),2026-08-10,2026-08-10,"QS: 65/100 | Hurtownia papierosów, sp.j. Siedziba Wrocław Krzyki Kościuszki 180. 6+ sklepów: Wrocław (Kościuszki 180, Żegiestowska 5, Krzywoustego 300 główna + oddział Cież K.), Wałbrzych (Wrocławska 130) — współpraca z kdwt.com.pl. NIP 8940050162 potwierdzony (panoramafirm, pkt.pl). KRS nie istnieje — sp.j. zarejestrowana w CEIDG/RGOP przed 2018 (RGOP stary system rejestracji sp.j.), nie ma publicznego KRS. ⚠️ Re-kategoryzacja: w CEIDG są tylko wspólnicy, nie sama sp.j. → weryfikacja CEIDG po NIP sp.j. może nic nie dać. Właścicieli (wspólników) szukać przez KRS/CEIDG po danych z RGOP/REGON 2026-08-10 ⚠️ DO-WERYFIKACJI (API)",duży,
ZP,zachodniopomorskie,województwo,,2011,PL-B-ZP-002,B8,POLSKA GRUPA TYTONIOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Wierzbnica (pow. myśliborski),"Wierzbnica 63A, 74-300 Myślibórz",PL4980260426,KRS 0000396744,http://polskagt.pl,biuro oddziałów,biuro@polskagt.pl,+48 502 399 832,brak,polskagt,polskagt_pl,,hurtownik,nie,nie,Polska (dystrybucja od 2002),duży 🟢,hurtownia ogólnopolska + biuro Piekary Śląskie (Bytomska 359),5,wysoki,Robert Biela (33% udziałów) + Barbara Urcus-Wargocka (33%) + Robert Rutkowski (33%),wspólnicy (równe udziały),biuro@polskagt.pl,KRS API + polskagt.pl + krs-online.com,KRS API / CEIDG API + web search 2026-08-10,2026-08-10 ✅ FROZEN (API),"QS: 90/100 | 🐋 OGÓLNOPOLSKA hurtownia tytoniowa + akcesoria do palenia. Dystrybucja od 2002 (JDG → sp.k. 2020 → sp. z o.o. aktywna 2011). Siedziba: Wierzbnica 63A, 74-300 Myślibórz. Biuro/oddział: Piekary Śląskie, Bytomska 359 (NIP 4980260426). Oddziały operacyjne: Myślibórz, Bydgoszcz, Łódź, Warszawa, Piekary Śląskie. Kapitał 5k zł. 3 wspólników po 328 udziałów. Marki papierosów: brak w ofercie (hurtownia). NOT IN USER LIST - Wysoki kandydat cross-sell. ⚠️ Sp. z o.o. (KRS 0000396744) ≠ dawna sp.k. (KRS 0000848352, WYKREŚLONA 2021) — rozróżnić. ⚠️ Poprzedni wpis miał błędne dane: Bydgoszcz, Pińczowska 8, JDG — to adres biura, NIE siedziba 2026-08-10 ✅ FROZEN (API)",duży,
XX,Polska,województwo,brak,brak,PL-B-XX-010,B8,DRV DISTRIBUTION Sp. z o.o.,PL,Lubartów,Lubartów (dokładny adres do weryfikacji),PL7142066366,KRS 0001190453,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,4,średni,do ustalenia (zarząd KRS),Jakub Golonka,Prezes / CEO,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0001190453, NIP 7142066366, REGON 54258176700000, siedziba LUBARTÓW (LUBELSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-011,B8,VTP Sp. z o.o.,PL,Lublin,Lublin (dokładny adres do weryfikacji),PL9462714112,KRS 0000948471,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,4,średni,do ustalenia,Michał Piskor,Dział Eksportu,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0000948471, NIP 9462714112, REGON 52101734200000, siedziba LUBLIN (LUBELSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-012,B8,TABASCO VAPE TABAS SPÓŁKA KOMANDYTOWA,PL,Rzeszów,Rzeszów (dokładny adres do weryfikacji),PL5170445620,KRS 0001093977,b2b.tabascovape.pl,brak,biuro@tabascovape.pl,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,do ustalenia,DANIEL BARTŁOMIEJ TABAS,komplementariusz,biuro@tabascovape.pl,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0001093977, NIP 5170445620, REGON 52806034100000, siedziba RZESZÓW (PODKARPACKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-013,B8,Flowrolls Sp. z o.o.,PL,Gdynia,Gdynia (dokładny adres do weryfikacji),PL5252782453,KRS 0000774565,brak,brak,info@flowrolls.pl,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,do ustalenia,Michał Piotr Kuźnik,Prezes Zarządu,info@flowrolls.pl,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0000774565, NIP 5252782453, REGON 38271953100000, siedziba GDYNIA (POMORSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-014,B8,BIODIO LAB Sp. z o.o.,PL,Białystok,Białystok (dokładny adres do weryfikacji),PL5423393334,KRS 0001074861,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,4,średni,do ustalenia,Izabela Wojciuk,Prezes,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0001074861, NIP 5423393334, REGON 38543583400000, siedziba BIAŁYSTOK (PODLASKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-015,B8,WEEDPOL Sp. z o.o.,PL,Katowice,Katowice (dokładny adres do weryfikacji),PL9542835071,KRS 0000922075,www.weedpol.pl,brak,postmaster@weedpol.pl,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,do ustalenia,brak,brak,postmaster@weedpol.pl,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0000922075, NIP 9542835071, REGON 52093491200000, siedziba KATOWICE (ŚLĄSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-016,B8,Konopny Sklep,PL,Białystok,"ul. Antoniukowska 54, 15-740 Białystok",PL5423228026,CEIDG 5423228026,brak,sklep stacjonarny,brak,+48 793 219 666,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia (właściciel JDG),brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 80/100 | + web search 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"Konopny Sklep (Białystok, Młynowa 38). JDG założona 2012. PKD 46.18.Z (agenci hurtowi). NIP 5423228026 potwierdzony (krs-online.com.pl), brak KRS (JDG w CEIDG). Kandydat cross-sell — sklep CBD/konopny, dystrybuuje produkty tytoniopodobne. ⚠️ Weryfikacja: czy importuje maszynki do tytoniu (typowy asortyment sklepu CBD).",2026-08-10 ✅ FROZEN
XX,Polska,województwo,brak,brak,PL-B-XX-017,B8,BENATURAL Sp. z o.o.,PL,Warszawa,Warszawa (dokładny adres do weryfikacji),PL7681843587,KRS 0000836728,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0000836728, NIP 7681843587, REGON 38588359600000, siedziba WARSZAWA (MAZOWIECKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-018,B8,Tabak Grupa sp. z o.o.,PL,Kalisz,Kalisz (dokładny adres do weryfikacji),PL6181914183,KRS 0000119343,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0000119343, NIP 6181914183, REGON 25100462100000, siedziba KALISZ (WIELKOPOLSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-019,B8,Tobacco Of Poland,PL,Grudziądz,"ul. Czerwonodworna 19, 86-300 Grudziądz",PL8762468378,KRS 0000673961,https://www.tobaccoofpoland.com,"biuro + stacje wykupowe (Grudziądz, Łukowa, Górny Potok)",brak,+48 799 885 995 (Aleks Dudalski - dział handlowy),brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,Aleks Dudalski (dział handlowy) + Artur Dudalski,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 80/100 | + web search 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"🐋 Tobacco Of Poland Sp. z o.o., KRS 0000673961, NIP 8762468378, REGON 366879566, kapitał 500k zł. Siedziba: Grudziądz, ul. Czerwonodworna 19. Magazyn: ul. Budowlanych 10, Grudziądz. Stacje wykupowe tytoniu: Grudziądz, Łukowa (k. Biłgoraja), Górny Potok. Działalność: skup surowych liści tytoniu (Virginia, Burley, Mocny Skroniowski) od plantatorów + dystrybucja do producentów cygar/papierosów/shishy/snusa. ⚠️ Weryfikacja: pełna oferta (czy mają maszynki), relacja z BILLS (hurtownia tytoniu = cross-sell na maszynki). Tel. Aleks Dudalski (dział handlowy, tel. kom. 799 885 992/995), Artur Dudalski. Strona PL i EN.",2026-08-10 ✅ FROZEN
XX,Polska,województwo,brak,brak,PL-B-XX-020,B8,Hurtownia Papierosów Sp. z o.o.,PL,Brzeziny,"ul. Adama Mickiewicza 17, 95-060 Brzeziny",PL8330002756,KRS 0000568420,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia (zarząd KRS),brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | + web search 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"Hurtownia Papierosów Sp. z o.o., KRS 0000568420, NIP 8330002756, REGON 750004750, kapitał 66.5k zł. Siedziba: Brzeziny, ul. Adama Mickiewicza 17 (woj. łódzkie). ⚠️ Uwaga: w aleo.com widnieje też ""Hurtownia Papierosów Andrzej Gryglak, Robert Michalski sp.j."" — to inna firma z tym samym NIP-em (zmiana formy prawnej). Sprawdzić czy sp.j. nadal istnieje, czy jest już zlikwidowana.",2026-08-10 ✅ FROZEN
XX,Polska,województwo,brak,brak,PL-B-XX-021,B8,BITLOGIC BARNAŚ SPÓŁKA KOMANDYTOWA,PL,Włocławek,Włocławek (dokładny adres do weryfikacji),PL5223217609,KRS 0000946950,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ✅ FROZEN (API),"KRS API: 0000946950, NIP 5223217609, REGON 52097496900000, siedziba WŁOCŁAWEK (KUJAWSKO-POMORSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-022,B8,J&K Dystrybucja sp. z o.o.,PL,Smolec (k. Wrocławia),"Smolec (k. Wrocławia, dokładny adres do weryfikacji)",PL8961612530,KRS 0000965005,brak,brak,dystrybucja.jk@gmail.com,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 80/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0000965005, NIP 8961612530, REGON 52168439200000, siedziba SMOLEC (DOLNOŚLĄSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-023,B8,CLOUD HOLDING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Gdańsk,Gdańsk (dokładny adres do weryfikacji),PL9571110560,KRS 0000998700,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,4,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0000998700, NIP 9571110560, REGON 38169493500000, siedziba GDAŃSK (POMORSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-024,B8,Vape.pl Sp. z o.o.,PL,Zawiercie,Zawiercie (dokładny adres do weryfikacji),PL6492327111,KRS 0000999396,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,średni,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ✅ FROZEN (API),"KRS API: 0000999396, NIP 6492327111, REGON 52350082900000, siedziba ZAWIERCIE (ŚLĄSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
XX,Polska,województwo,brak,brak,PL-B-XX-025,B8,Hurtownia KING Krzysztof Król,PL,Szczecin,"ul. Świerczewska 68, 71-066 Szczecin",PL8511005882,JDG (CEIDG),https://kinghurt.pl,brak,bok@kinghurt.pl,"+48 609 641 400, +48 603 580 032",brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,Krzysztof Król (właściciel JDG),brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 85/100 | + web search 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"🐋 Hurtownia KING Krzysztof Król (Szczecin, ul. Świerczewska 68). JDG od 2000-05-01. PKD główne 46.35.Z (sprzedaż hurtowa wyrobów tytoniowych). REGON 810172286. Własna strona kinghurt.pl. Oddziały: Gdynia (ul. Krzywoustego 6, tel 58 663 24 45). Centrala Pn-Pt 7-19, Sob 7-12. Bogata oferta tytoniowa. ⚠️ Weryfikacja: czy mają maszynki (typowy asortyment hurtowni tytoniowej) i jaki to kanał (online, B2B, detal).",2026-08-10 ✅ FROZEN
XX,Polska,województwo,brak,brak,PL-B-XX-026,B8,POLSKI TYTOŃ SPÓŁKA AKCYJNA,PL,Radom,Radom (dokładny adres do weryfikacji),PL9482622620,KRS 0000847239,polskityton.pl,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,do ustalenia,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"KRS API: 0000847239, NIP 9482622620, REGON 38639049900000, siedziba RADOM (MAZOWIECKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży
DS,dolnośląskie,województwo,,,PL-B-DS-002,B8,"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE AMPEX ADAM MINICKI, PAWEŁ POTONIEC SPÓŁKA JAWNA",PL,Ząbkowice Śląskie (al. Niepodległości 3 lok. 1) + Legnica (Sierocińska 10),"al. Niepodległości 3 lok. 1, 57-200 Ząbkowice Śląskie",PL6450008134,KRS 0000010733,brak,pkt.pl + panoramafirm,brak,74 815 17 21,brak,brak,brak,brak,hurtownik,nie,nie,brak,mały 🟡 (2 lokalizacje + serwis),hurtownia + sklepy stacjonarne,5,średni,Adam Minicki + Paweł Potoniec (wspólnicy sp.j.),wspólnicy sp.j.,właściciel,bizraport.pl + panoramafirm + web search,2026-08-10,2026-08-10,"QS: 65/100 | Hurtownia papierosów + akcesoria, sp.j. Siedziba: Ząbkowice Śląskie, al. Niepodległości 3 lok. 1. Oddział Legnica, Sierocińska 10. NIP 6450008134, REGON 271104956, PKD 46.90.Z. KRS API zwraca HTTP 204 (stary wpis) ale dane potwierdzone web search (2 niezależne źródła). Wspólnicy: Adam Minicki, Paweł Potoniec. 2026-08-10 ⚠️ DO-WERYFIKACJI (API)",duży,
PK,podkarpackie,województwo,,2012,PL-B-PK-001,B4,ELENPIPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Przemyśl (biuro operacyjne) / Sienno Dolne (siedziba rejestrowa),"Siedziba: Sienno Dolne 26/5, 72-316 (pow. łobeski, zachodniopomorskie). Biuro: ul. Chodkiewicza 35A, 37-700 Przemyśl",PL7952526523,KRS 0000445021,https://www.elenpipe-sw.com,Allegro user 34794518,elenpipe.pl@gmail.com,"+48 16 675 02 07, +48 729 306 784",brak,elenpipe,elenpipe_pl,brak,hurt-detal specjalistyczny,brak (fajki/cygarniczki/humidory/zapalniczki/shishe),tak (ELENPIPE®),"Polska (własna produkcja) + import (Mr.Bróg, ALDO MORELLI, Angelo)","mały 🟡 (2 pracowników 2014, spadek przychodów -31.52% w 2023)",hurt+detal online + Allegro,4,średni,do ustalenia (zarząd KRS),zarząd,do ustalenia,KRS API + elenpipe.com + emis.com,KRS API / CEIDG API + web search 2026-08-10,2026-08-10 ✅ FROZEN (API),"QS: 90/100 | Producent/importer fajek, cygarniczek, humidorów, papierośnic, zapalniczek, shishe. Własna marka ELENPIPE®. Dystrybuuje też Mr.Bróg, ALDO MORELLI, Angelo. Założona . ⚠️ Siedziba rejestrowa w woj. zachodniopomorskim (Sienno Dolne), biuro operacyjne w Przemyślu. Prawdopodobnie dystrybuuje też akcesoria do papierosów (shishe, zapalniczki). 2026-08-10 ⚠️ DO-WERYFIKACJI (API)",duży,
MZ,mazowieckie,województwo,,2014,PL-B-MZ-001,B8,ORION TOBACCO POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Goszczyn (Jakubów),"Jakubów 5, 05-610 Goszczyn",PL7252077543,KRS 0000513841,https://www.orion-orion.pl,brak,orion@orion.mail.pl,+48 48 663 21 90,brak,oriontobaccopoland,orion_tobacco_pl,brak,producent papierosów + dystrybutor hurt,"brak (własne marki: Vabanque, Sting, Taboo, Orion, Verso, Tennesie, Baker Street, Guliwer, Barkleys, Corset)",tak (10 marek własnych papierosów),produkcja własna (Polska),"duży 🟢 (1.8 mld szt papierosów rocznie, kapitał 10M PLN)",produkcja + dystrybucja hurt + export,4,wysoki,"Jerzy Czernek (88 tys. udziałów, 4.4M PLN) + Łukasz M***** (102 tys. udziałów, 5.1M PLN)",wspólnicy sp. z o.o.,karolina@orion.mail.pl (sprzedaż krajowa),KRS API + gov.pl koncesja + orion-orion.pl,KRS API / CEIDG API + web search 2026-08-10,2026-08-10 ✅ FROZEN (API),"QS: 90/100 | 🐋 PRZENIESIONY Z KATALOGU A (był PL-A-MZ-001, A4) → katalog B (PL-B-MZ-001, B8). Powód: nie dystrybuuje maszynek, jest PRODUCENTEM papierosów. PKD 12.00.Z Produkcja wyrobów tytoniowych. Kapitał 10M PLN. Koncesja rządowa: wytwarzanie 2.4M kg tytoń + 1.8 mld szt papierosów + 20M cygar rocznie. 10 własnych marek. Własny dział sprzedaży kraj + export + 9 handlowców regionalnych. Topowy partner cross-sell: mają papierosy i siatkę dystrybucji do 100k punktów. 2026-08-10 ⚠️ DO-WERYFIKACJI (API)",duży,
XX,Polska,województwo,brak,brak,PL-B-XX-055,B8,BISTA STANDARD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL5542559901,KRS 0000197822,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ✅ FROZEN (API),brak,duży
XX,Polska,województwo,brak,brak,PL-B-XX-056,B8,EUROCASH SERWIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL7772304755,KRS 0000519553,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-10,2026-08-10,QS: 75/100 | 2026-08-10 ✅ FROZEN (API),brak,duży
MZ,mazowieckie,województwo,,,PL-B-MZ-001,B8,Lima S.A.,PL,"Nationwide (Hq Warsaw, Branches Białystok, Jelenia Góra, Wrocław, Bydgoszcz, Lublin, Gorzów Wielkopolski (Marcinkowskiego 14E, Łódź, Kraków, Warsaw, Opole, Rzeszów, Białystok, Gdańsk, Katowice, Kielce, Olsztyn, Poznań, Koszalin","ul. Leonidasa 55/215 oraz ul. Deszczowa 2, Warszawa",,,https://lima-sa.pl,,hurtownia@lima-warszawa.com,+48 606 689 456; +48 574 666 624,,,,,reseller,,,,duży,🟢,B2B only,5,wysoki,Dział hurtowni,Sprzedaż hurtowa,,intake_PL_2026-08-10 | https://lima-warszawa.com/pl/page/kontakt | https://lima-sa.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=90 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
